H2S,N2,CO2,C1,C2,C3,C4,C5,C6,C7+,MWC7+,Temp,Psat
0.000000,0.003300,0.001900,0.354200,0.033600,0.009000,0.009500,0.004000,0.007200,0.577300,255.000000,344.261111,156.802721
0.000000,0.000500,0.008500,0.410500,0.110700,0.070700,0.048200,0.028900,0.031900,0.290100,198.000000,389.261111,226.870748
0.000000,0.004100,0.006500,0.302100,0.068900,0.066000,0.058800,0.046200,0.042700,0.404700,247.000000,330.372222,127.891156
0.000000,0.003600,0.001700,0.272300,0.089300,0.086000,0.060700,0.037100,0.025500,0.423800,271.000000,327.594444,92.857143
0.000000,0.001800,0.024600,0.302600,0.073000,0.063600,0.046100,0.035400,0.032200,0.420800,299.000000,329.816667,124.149660
0.000000,0.004800,0.004100,0.332500,0.075500,0.062100,0.041100,0.022000,0.028800,0.429100,236.000000,330.927778,111.564626
0.000000,0.000300,0.003000,0.278000,0.082600,0.067300,0.037200,0.040800,0.042000,0.448800,254.000000,329.816667,111.904762
0.000000,0.014700,0.001900,0.254600,0.036200,0.035800,0.044300,0.047000,0.073500,0.492000,230.000000,303.150000,86.734694
0.000000,0.000010,0.049100,0.053800,0.017200,0.023100,0.033800,0.037800,0.050400,0.696500,241.000000,349.300000,27.900000
0.000000,0.008700,0.002200,0.341000,0.093700,0.094800,0.058500,0.036100,0.027200,0.337800,141.692534,364.250000,180.400000
0.000000,0.004500,0.005100,0.305600,0.072500,0.072800,0.052400,0.037600,0.038500,0.411000,268.000000,330.372222,118.027211
0.000000,0.000000,0.006800,0.487900,0.105700,0.062100,0.034600,0.045600,0.028000,0.248000,218.000000,383.150000,185.714286
0.000000,0.003300,0.003500,0.067200,0.021900,0.040400,0.055400,0.053000,0.044700,0.710600,225.000000,332.038889,24.489796
0.000000,0.001200,0.005100,0.288100,0.079100,0.064600,0.031700,0.020700,0.032500,0.477000,250.000000,329.816667,109.863946
0.000000,0.000000,0.001500,0.195000,0.081700,0.084300,0.060000,0.029200,0.036100,0.512200,225.000000,328.705556,69.727891
0.000000,0.000000,0.000000,0.420000,0.080000,0.060000,0.020000,0.010000,0.040000,0.370000,255.000000,341.483333,221.088435
0.000000,0.009000,0.023200,0.167680,0.051290,0.058190,0.061200,0.053500,0.047500,0.528450,202.837610,399.850000,76.300000
0.000000,0.000000,0.018100,0.498300,0.051635,0.039965,0.032418,0.025282,0.028900,0.305400,227.661054,337.250000,289.700000
0.000000,0.005400,0.005000,0.277900,0.068900,0.063400,0.044500,0.032900,0.035000,0.467000,214.000000,329.261111,112.585034
0.000000,0.000000,0.001700,0.285600,0.086300,0.074300,0.038100,0.026100,0.041100,0.446800,249.000000,329.816667,105.306122
0.000000,0.002100,0.003400,0.200400,0.079300,0.080000,0.066000,0.058700,0.050800,0.459300,230.000000,385.927778,61.292517
0.000000,0.001900,0.001200,0.286200,0.086600,0.065200,0.047800,0.027100,0.036200,0.447800,274.000000,330.372222,120.136054
